player_id,firstName,lastName,birthDate,primaryPosition,shootsCatches,season,gamesPlayed,goals,assists,points,pointsPerGame,plusMinus,shots,shootingPercentage,penaltyMinutes,timeOnIce,avgTimeOnIce,faceOffWins,faceOffLosses,faceOffTaken,faceOffPercentage,hits,blocks,takeaways,giveaways,turnoverDifferential,powerPlayGoals,powerPlayAssists,powerPlayPoints,powerPlayTimeOnIce,avgPowerPlayTimeOnIce,shortHandedGoals,shortHandedAssists,shortHandedPoints,shortHandedTimeOnIce,avgShortHandedTimeOnIce,salary
8446485,Kris,Draper,1971-05-24,C,L,2010-11,47,6,5,11,0.23,1,57,10.53,12,29468.0,10:26,95,73,168,56.55,45,11,16,8,8,0,0,0,119.0,0:2,0,0,0,2406.0,0:51,-111
8449645,Mike,Modano,1970-06-07,C,L,2010-11,40,4,11,15,0.38,-4,79,5.06,8,29876.0,12:26,133,141,274,48.54,7,10,14,13,1,1,5,6,6083.0,2:32,0,0,0,23.0,0:0,1250000
8450725,Mark,Recchi,1968-02-01,RW,L,2010-11,81,14,34,48,0.59,13,132,10.61,35,78269.0,16:6,52,45,97,53.61,81,25,16,32,-16,6,11,17,13042.0,2:41,0,1,1,3508.0,0:43,1000000
8455919,Craig,Conroy,1971-09-04,C,R,2010-11,18,2,0,2,0.11,-1,11,18.18,8,10046.0,9:18,101,88,189,53.44,21,10,4,10,-6,0,0,0,65.0,0:3,0,0,0,2521.0,2:20,500000
8456283,Adam,Foote,1971-07-10,D,R,2010-11,47,0,8,8,0.17,-9,23,0.0,33,50549.0,17:55,0,0,0,0.0,55,67,4,15,-11,0,0,0,403.0,0:8,0,0,0,8023.0,2:50,1000000
8457063,Nicklas,Lidstrom,1970-04-28,D,L,2010-11,82,16,46,62,0.76,-2,175,9.14,20,115465.0,23:28,0,0,0,0.0,49,92,33,33,0,7,32,39,19932.0,4:3,0,1,1,13142.0,2:40,6200000
8457981,Teemu,Selanne,1970-07-03,RW,R,2010-11,73,31,49,80,1.1,6,213,14.55,49,78572.0,17:56,97,121,218,44.5,15,20,37,45,-8,16,18,34,15177.0,3:27,0,0,0,98.0,0:1,3250000
8458361,Doug,Weight,1971-01-21,C,L,2010-11,18,2,7,9,0.5,-3,26,7.69,10,18927.0,17:31,57,53,110,51.82,9,4,9,20,-11,1,4,5,5364.0,4:58,0,0,0,22.0,0:1,850000
8458520,Peter,Forsberg,1973-07-20,C,L,2010-11,2,0,0,0,0.0,-4,3,0.0,4,2110.0,17:35,0,0,0,0.0,3,0,1,0,1,0,0,0,217.0,1:48,0,0,0,0.0,0:0,1000000
8458525,Brian,Rolston,1973-02-21,RW,L,2010-11,65,14,20,34,0.52,-6,168,8.33,34,68664.0,17:36,52,83,135,38.52,67,20,27,23,4,6,5,11,9719.0,2:29,0,1,1,6053.0,1:33,5062500
